word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.111658599998918,None,space,3.0747149999988324,7.111658599998918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
PHONE,old,0,0,0,1,,,,,,,,,,,11.228949899999861,None,11.228949899999861,None,10.735462199998437,None,10.735462199998437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
FRIEND,old,0,1,1,0,,,,,,,,,,,12.228028500001528,None,12.228028500001528,None,11.728450599999633,None,11.728450599999633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
VALLEY,old,0,2,2,2,,,,,,,,,,,13.22770319999836,None,13.22770319999836,None,12.72774439999921,None,12.72774439999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
,,,,,,,,,,,,,,,,,,,,,,,,13.727067899999383,None,space,0.9399364999990212,13.727067899999383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
VALLEY,old,,,,,0,0,0,2,,,,,,,17.525230499999452,None,17.525230499999452,None,,,,,,,,,,,15.200594699999783,None,15.200594699999783,None,1,1.3776823000007425,15.200594699999783,None,15.200594699999783,None,15.200594699999783,None,16.60916670000006,None,16.60916670000006,None,17.109417799998482,None,17.109417799998482,None,f,0.38937799999985145,17.109417799998482,None,17.109417799998482,None,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
TODAY,new,,,,,0,1,1,10,,,,,,,19.341445099998964,None,19.341445099998964,None,,,,,,,,,,,18.02471560000049,None,18.02471560000049,None,1,0.577747499999532,18.02471560000049,None,18.02471560000049,None,18.02471560000049,None,18.62429759999941,None,18.62429759999941,None,19.123962699999538,None,19.123962699999538,None,f,0.1988026999970316,19.123962699999538,None,19.123962699999538,None,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
GLOBE,old,,,,,0,2,2,5,,,,,,,22.905681399999594,None,22.905681399999594,None,,,,,,,,,,,19.841818900000362,None,19.841818900000362,None,3,1.0965474000004178,19.841818900000362,None,19.841818900000362,None,19.841818900000362,None,20.956756600000517,None,20.956756600000517,None,21.456215499998507,None,21.456215499998507,None,f,1.4181102000002284,21.456215499998507,None,21.456215499998507,None,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
STREET,new,,,,,0,3,3,8,,,,,,,25.95355710000149,None,25.95355710000149,None,,,,,,,,,,,23.405818300001556,None,23.405818300001556,None,6,1.4926515000006475,23.405818300001556,None,23.405818300001556,None,23.405818300001556,None,24.921169400000508,None,24.921169400000508,None,25.42045589999907,None,25.42045589999907,None,f,0.5178250999997545,25.42045589999907,None,25.42045589999907,None,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
GLASS,old,,,,,0,4,4,3,,,,,,,28.519089800000074,None,28.519089800000074,None,,,,,,,,,,,26.453257199998916,None,26.453257199998916,None,6,1.1574940999998944,26.453257199998916,None,26.453257199998916,None,26.453257199998916,None,27.63638010000068,None,27.63638010000068,None,28.13616959999854,None,28.13616959999854,None,f,0.3543016000003263,28.13616959999854,None,28.13616959999854,None,,,12,001,2020_Aug_08_0454,untitled,2020.1.3,59.9179124591709,
