word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon_2.started,polygon_2.stopped,textresp.started,textresp.stopped,textQuestion.started,textQuestion.stopped,key_response.keys,key_response.corr,key_response.rt,key_response.started,key_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.173999999999069,None,space,1.2019414000005781,8.173999999999069,None,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
FRIEND,old,y,0,0,0,0,,,,,,,,,,,10.921406999999817,None,9.929264599999442,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
MOUNTAIN,old,y,0,1,1,2,,,,,,,,,,,12.420863400000599,None,11.42133610000019,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
PHONE,old,y,0,2,2,1,,,,,,,,,,,13.920033299998977,None,12.920517000000473,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
GLASS,old,y,0,3,3,4,,,,,,,,,,,15.41918699999951,None,14.41964729999927,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
GLOBE,old,y,0,4,4,7,,,,,,,,,,,16.91826349999974,None,15.918741999999838,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
VALLEY,old,y,0,5,5,3,,,,,,,,,,,18.41738649999934,None,17.41793680000046,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
LAND,old,y,0,6,6,6,,,,,,,,,,,19.916595400000006,None,18.917216499999995,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
HAMMER,old,y,0,7,7,8,,,,,,,,,,,21.41578639999898,None,20.416299099999378,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
WRENCH,old,y,0,8,8,5,,,,,,,,,,,22.91490049999993,None,21.91536619999897,None,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
,,,,,,,,,,,,,,,,,,,,,23.414767099999153,None,space,0.5610078000008798,23.414767099999153,None,,,,,,,,,,,,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
None,None,None,,,,,0,0,0,22,,,,,,,32.52615770000011,None,,,,,,,,,24.50115729999925,None,24.50115729999925,None,24.50115729999925,None,y,0,8.002450500000123,24.50115729999925,None,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
None,None,None,,,,,0,1,1,30,,,,,,,35.35792799999945,None,,,,,,,,,33.02768429999924,None,33.02768429999924,None,33.02768429999924,None,n,0,2.3161888999984512,33.02768429999924,None,00,001,2020_Aug_08_0110,untitled,2020.1.3,60.00261611411873,
